AMANDA, , BELL, , F, , 12/30/2003, 570-811-9657, 570-811-9657, 340 BEACH 66ST, PH, FAR ROCKAWAY, NY, 11692, , ABELL@AMGGT.COM, , 15790506, 
THOMAS, RICHARD, SCHROEDER, , M, , 8/7/2007, 934-273-7661, 934-273-7661, 17 4TH STREET, PVT, BROOKLYN, NY, 11231, , , 806561, 15937070, 

SHIRLEEN, , WILSON, , F, , 12/3/1995, , , , , , , , , , , 15459791, 
SHIRLEEN, , WILSON, , F, , 12/3/1995, 908-932-8808, 908-932-8808, 1310 NOSTRAND AVENUE, B1, BROOKLYN, NY, 11226, MONCAYO, SWILSON@AMGGT.COM, 744424, 15493871, 
SHIRLEEN, , WILSON, , F, , 12/3/1995, 908-932-8808, 203-808-9890^^908-932-8808, 1310 NOSTRAND AVENUE, B1, BROOKLYN, NY, 11226, , , 806719, 15691687, 

JASSICA, , LEE, , F, , 2/5/1994, , , , , , , , , , , 15484101, 
JASSICA, , LEE, , F, , 2/5/1994, 860-676-3185, 609-377-4912^^860-676-3185, 2262 7TH AVENUE, SHLT, NEW YORK, NY, 10030, , , 747110, 15454271, 
JASSICA, , LEE, , F, , 2/5/1994, 201-345-8871, 201-345-8871, 400 EAST 30TH STREET, SHLT, NEW YORK, NY, 10016, , , 802684, 15869443, 

DENIS, , WILHITE, , M, , 12/27/1981, , , , , , , , , , , 15795448, 
DENIS, BRUCE, WILHITE, , M, , 12/27/1981, 551-735-1686, 551-735-1686, 2017 BEVERLY ROAD, , BROOKLYN, NY, 11226, , , 818535, 15451180, 
DENIS, BRUCE, WILHITE, , M, , 12/27/1981, 551-653-8418, 934-502-6699^^551-653-8418, 1800 ALBAMALE ROAD, 5F, BROOKLYN, NY, 11226, , , 826578, 15988422, 

AARON, , CRAMERMARTINEZ, , M, , 11/18/2003, , , , , , , , , , , 15961455, 
AARON, MATEO, CRAMERMARTINEZ, , M, , 11/18/2003, 551-936-8509, 551-936-8509, 1737 HARRISON AVENUE, 5B, BRONX, NY, 10453, , , 756850, 15417504, 
AARON, MATEO, CRAMERMARTINEZ, , M, , 11/18/2003, 551-936-8509, 551-936-8509, 574 MORRIS PARK AVENUE, 1, BRONX, NY, 10460, , , 785103, 15749410, 

MIAH, VIRGINIA, BRANNON, , F, , 4/22/2006, , , 2383 HUFFMAN STREET, 2, , , 10458, , , , 15668070, 
MIAH, VIRGINIA, BRANNON, , F, , 4/22/2006, 845-339-3764, 845-339-3764, 2383 HUFFMAN STREET, 2, BRONX, NY, 10458, , MBRANNON@AMGGT.COM, 774012, 15957904, 
MIAH, , BRANNON, , F, , 4/22/2006, 845-339-3764, 845-339-3764, 1052 GERARD AVENUE, 2D, BRONX, NY, 10456, , , 812653, 15798392, 

CARTER, S, WILLIAMS, , M, , 6/27/2014, , , , , , , , , , , 15891565, 
CARTER, S, WILLIAMS, , M, , 6/27/2014, 212-130-7955, 732-264-3956^^212-130-7955, , , , , , , , 747982, 16007240, 
CARTER, S, WILLIAMS, , M, , 6/27/2014, 212-130-7955, 212-130-7955, 535 W 48TH STREET, , NEW YORK, NY, 10036, , CWILLIAMS@AMGGT.COM, 778137, 15785679, 

MISIAH, , CARNEY, , F, , 12/27/2009, , , 722 47 STREET, 1FL, , , 11220, , , , 15963715, 
MISIAH, , CARNEY, , F, , 12/27/2009, 518-120-3479, 518-120-3479, 722 47 STREET, 1FL, BROOKLYN, NY, 11220, , , 730615, 15744506, 
MISIAH, E, CARNEY, , F, , 12/27/2009, 518-120-3479, 518-120-3479, 6322 11 AVENUE, 2FL, BROOKLYN, NY, 11220, , MCARNEY@AMGGT.COM, 794371, 16024814, 

LYRISSA, , PAPACCIO, , F, , 8/27/2008, , , , , , , , , , , 15603990, 
LYRISSA, , PAPACCIO, , F, , 8/27/2008, 267-414-9902, 267-414-9902, 1246 STRATFORD AVENUE, B2, BRONX, NY, 10472, , , 756828, 15738699, 
LYRISSA, , PAPACCIO, , F, , 8/27/2008, 267-414-9902, 267-414-9902, 1213 ELDER AVENUE, 9, BRONX, NY, 10472, HENDERSON, LPAPACCIO@AMGGT.COM, 756829, 15415026, 

TABITHA, , MUKOKA, , F, , 5/5/2007, , , 465 EAST 10TH STREET, 9G, , , 10009, , , , 15419875, 
TABITHA, , MUKOKA, , F, , 5/5/2007, 934-487-6304, 934-487-6304, 465 EAST 10TH STREET, 9G, NEW YORK, NY, 10009, , , 745072, 15920802, 
TABITHA, , MUKOKA, , F, , 5/5/2007, 934-487-6304, 934-487-6304, 219E 121ST, , NEW YORK, NY, 10035, , , 805251, 15847641, 

GENEVA, , BANDY, , F, , 12/19/2001, , , , , , , , , , , 15444479, 
GENEVA, COLENE, BANDY, , F, , 12/19/2001, 973-227-2632, 848-907-7203^^973-227-2632, 3252 HERING AVENUE, PH1, BRONX, NY, 10469, , , 729728, 15500482, 
GENEVA, COLENE, BANDY, , F, , 12/19/2001, 631-283-7444, 631-283-7444, 3252 HERING AVENUE, 1, BRONX, NY, 10469, , , 758367, 15704153, 

RAUL, A, GRIFFIN, , M, , 12/8/1996, , , 2218 LYNOY AVENUE, 1F, , , 10462, , , , 15511944, 
RAUL, A, GRIFFIN, , M, , 12/8/1996, 845-209-8673, 845-209-8673, 2218 LYNOY AVENUE, 1F, BRONX, NY, 10462, , , 750612, 15747578, 
RAUL, ARTHUR, GRIFFIN, , M, , 12/8/1996, 845-209-8673, 845-209-8673, 1234 SECOND AVENUE, PH, SCHENECTADY, NY, 12303, BENNETT, RGRIFFIN@AMGGT.COM, 791110, 15792157, 

ELIZABETH, , SMITH, , F, , 12/20/1997, , , , , , , , , , , 15746050, 
ELIZABETH, , SMITH, , F, , 12/20/1997, , , 31 TERRACE AVENUE, PH, FLORAL PARK, NY, 11001, , , 761289, 15815916, 
ELIZABETH, , SMITH, , F, , 12/20/1997, 610-853-9763, 610-853-9763, 31 TERRACE AVENUE, PH, FLORAL PARK, NY, 11001, , , 808251, 15824113, 

JAVIER, JEFFREY, HOLLINS, , M, , 7/9/2015, , , , , , , , , , , 15467997, 
JAVIER, JEFFREY, HOLLINS, , M, , 7/9/2015, 934-298-8569, 934-298-8569, , , , , , , , 730366, 15956813, 
JAVIER, , HOLLINS, , M, , 7/9/2015, 934-298-8569, 934-298-8569, , , , , , , , 774123, 15702427, 

LINDA, C, FLANNERY, , F, , 6/1/2014, , , 8268 164 STREET, HOSP, , , 11432, , , , 15491334, 
LINDA, C, FLANNERY, , F, , 6/1/2014, 609-823-3403, 609-823-3403, 9926 212TH STREET, PH, QNS VILLAGE, NY, 11429, , , 721109, 15698949, 
LINDA, C, FLANNERY, , F, , 6/1/2014, 609-823-3403, 609-823-3403, 8268 164 STREET, HOSP, JAMAICA, NY, 11432, , , 733282, 15960462, 

ANGIE, , MEYER, , F, , 12/13/2000, , , 819 FDR DRIVE, 5A, , , 10009, , , , 15559013, 
ANGIE, , MEYER, , F, , 12/13/2000, 484-985-5817, 484-985-5817, 819 FDR DRIVE, 5A, NEW YORK, NY, 10009, , , 723631, 15517003, 
ANGIE, JANE, MEYER, , F, , 12/13/2000, 484-985-5817, 484-985-5817, 1225 FDR DRIVE, 6C, NEW YORK, NY, 10009, , , 778092, 15732361, 

DAVID, D, JULY, , M, , 7/15/2007, , , , , , , , , , , 15569323, 
DAVID, DEAN, JULY, , M, , 7/15/2007, 551-781-9979, 551-781-9979, , , , , , , DJULY@AMGGT.COM, 818163, 15528120, 
DAVID, D, JULY, , M, , 7/15/2007, 551-781-9979, 551-781-9979, , , , , , , , 824924, 15851319, 

DALILAH, MARY, GIDLEY, , F, , 3/30/2014, , , 400 EAST 30TH STREET, SHL, , , 10016, , , , 15843543, 
DALILAH, , GIDLEY, , F, , 3/30/2014, 959-443-2716, 959-443-2716, 219 E 121 STREET, , NEW YORK, NY, 10035, , , 787812, 15921492, 
DALILAH, MARY, GIDLEY, , F, , 3/30/2014, 959-443-2716, 959-443-2716, 400 EAST 30TH STREET, SHL, NEW YORK, NY, 10016, , , 810750, 15915513, 

DAMIAN, , HUNTER, , M, , 8/7/2002, , , , , , , , , , , 15663836, 
DAMIAN, , HUNTER, , M, , 8/7/2002, 917-144-1424, 917-144-1424, 215 EAST TREMONT AVENUE, 41E, BX, NY, 10458, , , 785070, 15958684, 
DAMIAN, , HUNTER, , M, , 8/7/2002, 917-144-1424, 917-144-1424, 769 BRYANT AVENUE, 4I, BX, NY, 10474, , DHUNTER@AMGGT.COM, 788229, 15378379, 

LESLIE, , COLEMAN, , M, , 12/10/1991, , , , , , , , , , , 15966479, 
LESLIE, , COLEMAN, , M, , 12/10/1991, 212-630-9129, 551-759-6219^^212-630-9129, 462 FIRST AVENUE, , NEW YORK, NY, 10016, , , 732650, 15702388, 
LESLIE, , COLEMAN, , M, , 12/10/1991, 203-488-1233, 203-488-1233, 462 FIRST AVENUE, , NEW YORK, NY, 10016, , LCOLEMAN@AMGGT.COM, 732700, 15784798, 

ERIC, FERNANDO, DIXON, , M, , 6/17/2007, , , 715 FAIRMONT PLACE, 1, , , 10456, , , , 15660717, 
ERIC, , DIXON, , M, , 6/17/2007, 212-374-3638, 212-374-3638, 253W 135TH STREET, , NEW YORK, NY, 10036, , , 711243, 16005172, 
ERIC, FERNANDO, DIXON, , M, , 6/17/2007, 212-374-3638, 212-374-3638, 715 FAIRMONT PLACE, 1, BRONX, NY, 10456, , EDIXON@AMGGT.COM, 719080, 15579387, 

JANET, , ADAM, , F, , 4/10/2003, , , 4054 97TH STREET, 2F, , , 11368, , , , 15931249, 
JANET, , ADAM, , F, , 4/10/2003, 347-390-2973, 347-390-2973, 4054 97TH STREET, 2F, FLUSHING, NY, 11368, , , 727985, 15465058, 
JANET, , ADAM, , F, , 4/10/2003, 347-390-2973, 347-390-2973, 4321 ALBERTSON STREET, 2FL, ELMHURST, NY, 11373, , JADAM@AMGGT.COM, 774262, 15609012, 

ESTHER, , SIEBEN, , F, , 12/9/1925, , , , , , , , , , , 16027978, 
ESTHER, LISA, SIEBEN, , F, , 12/9/1925, 347-471-9522, 516-591-8103^^347-471-9522, 1231 COMMONWEALTH AVENUE, , BRONX, NY, 10472, , , 802747, 15845893, 
ESTHER, LISA, SIEBEN, , F, , 12/9/1925, 201-937-1301, 201-937-1301, 1231 COMMONWELTH AVENUE, 1, BRONX, NY, 10472, , ESIEBEN@AMGGT.COM, 818608, 15951453, 

LORI, , ROSE, , F, , 3/9/1997, , , , , , , , , , , 15870942, 
LORI, TIFFANY, ROSE, , F, , 3/9/1997, 732-792-7837, 959-745-9547^^732-792-7837, 1230 WOODYCREST AVENUE, 4F, BRONX, NY, 10452, , , 763859, 15446576, 
LORI, TIFFANY, ROSE, , F, , 3/9/1997, , , 1230 WOODYCREST AVENUE, 4F, BRONX, NY, 10452, STROTHER, LROSE@AMGGT.COM, 812259, 15756558, 

JADA, , ZINSER, , F, , 11/25/1994, , , 414 EAST 24TH STREET, 4H, , , 10467, , , , 15854250, 
JADA, , ZINSER, , F, , 11/25/1994, 267-642-5312, 267-642-5312, 414 EAST 24TH STREET, 4H, BRONX, NY, 10467, , , 781928, 15509713, 
JADA, , ZINSER, , F, , 11/25/1994, 267-642-5312, 267-642-5312, 3156 PERRY AVENUE, 5B, BRONX, NY, 10467, RISE, JZINSER@AMGGT.COM, 784792, 15554674, 

LESLIE, SU, OUTAR, , F, , 3/13/2006, , , 462 1ST AVENUE, , , , 10016, LOVE, , , 15505245, 
LESLIE, SU, OUTAR, , F, , 3/13/2006, 934-610-3504, 934-610-3504, 462 1ST AVENUE, , NEW YORK, NY, 10016, LOVE, LOUTAR@AMGGT.COM, 716137, 15897316, 
LESLIE, S, OUTAR, , F, , 3/13/2006, 934-610-3504, 934-610-3504, 1322 BEDFORD AVENUE, , BROOKLYN, NY, 11216, , , 803574, 15670360, 

BRIAN, , GUTIERREZ, , M, , 9/15/2007, , , 8268 164TH STREET, HOSP, , , 11432, , , , 15827662, 
BRIAN, , GUTIERREZ, , M, , 9/15/2007, 845-634-7691, 845-634-7691, 2220 125 STREET, PH, COLLEGE POINT, NY, 11356, MORGAN, BGUTIERREZ@AMGGT.COM, 771150, 15479760, 
BRIAN, , GUTIERREZ, , M, , 9/15/2007, 845-634-7691, 845-634-7691, 8268 164TH STREET, HOSP, JAMAICA, NY, 11432, , , 815948, 16004718, 

DANIELA, MARTHA, DAVIS, , F, , 12/14/1996, , , 19 E GUN HILL ROAD, A, , , 10467, , , , 16008892, 
DANIELA, MARTHA, DAVIS, , F, , 12/14/1996, 917-302-3056, 917-302-3056, 19 E GUN HILL ROAD, A, BRONX, NY, 10467, , , 781571, 15765778, 
DANIELA, , DAVIS, , F, , 12/14/1996, 917-302-3056, 917-302-3056, UNK, , BRONX, NY, 10468, , , 808496, 15577849, 

MAKAILEE, , JOHNSON, , F, , 10/16/1996, , , 260 CONVENT AVENUE, 6, , , 10031, , , , 15573631, 
MAKAILEE, , JOHNSON, , F, , 10/16/1996, 860-899-3753, 860-899-3753, 260 CONVENT AVENUE, 6, NEW YORK, NY, 10031, , , 793843, 15647412, 
MAKAILEE, , JOHNSON, , F, , 10/16/1996, 860-899-3753, 860-899-3753, 120 WEST 138TH STREET, 2F, NEW YORK, NY, 10030, , , 816250, 15755108, 

JODY, , BERRY, , F, , 12/16/1992, , , 1041 UNIVERSITY AVENUE, 2F, , , 10452, , , , 15779616, 
JODY, CAROL, BERRY, , F, , 12/16/1992, 267-427-2328, 267-427-2328, 537 E 139 STREET, 3 C, BRONX, NY, 10454, TITLER, JBERRY@AMGGT.COM, 774334, 15602019, 
JODY, , BERRY, , F, , 12/16/1992, 267-427-2328, 267-427-2328, 1041 UNIVERSITY AVENUE, 2F, BRONX, NY, 10452, , , 791021, 15743929, 

JOSEPH, , GARZA, , M, , 7/18/2003, , , 420 E 105 STREET, 8F, , , 10029, MEDINA, , , 15717638, 
JOSEPH, , GARZA, , M, , 7/18/2003, 848-200-2163, 848-200-2163, 420 E 105 STREET, 8F, NEW YORK, NY, 10029, MEDINA, JGARZA@AMGGT.COM, 793920, 15787791, 
JOSEPH, , GARZA, , M, , 7/18/2003, 848-200-2163, 848-200-2163, 1170 WALTON AVENUE, 3C, BRONX, NY, 10452, , , 808528, 15920316, 

WILLIAM, , CUTRIGHT, , M, , 6/4/2013, , , , , , , , , , , 15771715, 
WILLIAM, DARRYL, CUTRIGHT, , M, , 6/4/2013, 929-635-6261, 929-635-6261, 747 EAST 168TH STREET, 2F, BRONX, NY, 10456, , , 762551, 15610047, 
WILLIAM, DARRYL, CUTRIGHT, , M, , 6/4/2013, 929-635-6261, 929-635-6261, 747 E 168TH STREET, 5 E, BRONX, NY, 10456, , , 800913, 15765129, 

KENNY, , MICHAELSON, , M, , 12/7/1987, , , , , , , , , , , 15518776, 
KENNY, HAROLD, MICHAELSON, , M, , 12/7/1987, 973-764-6871, 973-764-6871, 760 ELDERTS LANE, 9N, BROOKLYN, NY, 11208, , , 783864, 15514265, 
KENNY, HAROLD, MICHAELSON, , M, , 12/7/1987, 203-809-4553, 862-318-5415^^203-809-4553, K760 ELDERTS LANE, , BROOKLYN, NY, 11208, , , 807394, 15942981, 

NICHOLAS, , BLACKMON, , M, , 12/4/1991, , , 650 W 172ND STREET, 42, , , 10032, , , , 15389148, 
NICHOLAS, , BLACKMON, , M, , 12/4/1991, 732-885-5069, 732-885-5069, 141 W 142 STREET, 3B, NEW YORK, NY, 10030, , , 730774, 16026507, 
NICHOLAS, , BLACKMON, , M, , 12/4/1991, 732-885-5069, 732-885-5069, 650 W 172ND STREET, 42, NEW YORK, NY, 10032, , , 733783, 15520209, 

PABLO, B, FRANK, , M, , 7/3/2014, , , 1591 METROPOLITIAN AVENUE, 1D, , , 10462, , , , 15754972, 
PABLO, B, FRANK, , M, , 7/3/2014, 518-925-1212, 518-925-1212, 1591 METROPOLITIAN AVENUE, 1D, BRONX, NY, 10462, , , 714002, 15765610, 
PABLO, BRYAN, FRANK, , M, , 7/3/2014, 518-925-1212, 518-925-1212, 1834 PHELAN PLACE, 4J, BRONX, NY, 10453, HERNANDEZ, PFRANK@AMGGT.COM, 756578, 15474215, 

MARY, , HEFFNER, , F, , 3/7/2008, , , , , , , , , , , 15400492, 
MARY, S, HEFFNER, , F, , 3/7/2008, 267-108-6141, 609-454-4010^^267-108-6141, 317 WEST 121ST STREET, 2C, NEW YORK, NY, 10027, , , 799359, 15704032, 
MARY, SARA, HEFFNER, , F, , 3/7/2008, 267-108-6141, 267-108-6141, 317 WEST 121ST STREET, 2C, NEW YORK, NY, 10027, , , 816468, 15955991, 

SHANE, , MOORE, , M, , 9/16/1998, , , , , , , , , , , 15551360, 
SHANE, , MOORE, , M, , 9/16/1998, 212-534-1722, 212-534-1722, 5240 WEST BROADWAY, 2H, BRONX, NY, 10463, , , 782256, 15779303, 
SHANE, , MOORE, , M, , 9/16/1998, 212-534-1722, 212-534-1722, 2302 VALENTINE AVENUE, 17, BRONX, NY, 10458, , , 801022, 15638587, 

LEA, , JOINER, , F, , 7/6/2010, , , , , , , , , , , 15566430, 
LEA, , JOINER, , F, , 7/6/2010, 862-671-5163, 862-671-5163, 2791 BRIGGS AVENUE, 2A, BRONX, NY, 10472, , , 711681, 15477981, 
LEA, MARY, JOINER, , F, , 7/6/2010, 862-671-5163, 862-671-5163, 2791 BRIGGS AVENUE, 2B, BRONX, NY, 10458, , , 711700, 15916843, 

WANDA, , LEE, , F, , 5/24/1924, , , , , , , , , , , 15404806, 
WANDA, , LEE, , F, , 5/24/1924, 484-629-7228, 570-162-9028^^484-629-7228, 230 EAST 26TH STREET, , BROOKLYN, NY, 11226, , , 755613, 15460616, 
WANDA, , LEE, , F, , 5/24/1924, 929-215-6740, 929-215-6740, 230 E 26TH STREET, 3B, BROOKLYN, NY, 11226, , , 764017, 15924475, 

PHILIP, , CHIN, , M, , 5/15/2004, , , , , , , , , , , 15570154, 
PHILIP, , CHIN, , M, , 5/15/2004, , , 516 WEST 135TH STREET, 24, NEW YORK, NY, 10031, , , 786923, 15509996, 
PHILIP, , CHIN, , M, , 5/15/2004, 959-245-6080, 959-245-6080, 516 WEST 135TH STREET, 24, NEW YORK, NY, 10031, , PCHIN@AMGGT.COM, 808870, 15881412, 

ALLISON, , CONRAD, , F, , 12/8/2010, , , 2937 8TH AVENUE, 25E, , , 10039, CHOUDHURY, , , 15885280, 
ALLISON, , CONRAD, , F, , 12/8/2010, 551-823-6302, 551-823-6302, 2937 FREDERICK DOUGLAS, 25E, NEW YORK, NY, 10039, , , 753182, 15546890, 
ALLISON, , CONRAD, , F, , 12/8/2010, 551-823-6302, 551-823-6302, 2937 8TH AVENUE, 25E, NEW YORK, NY, 10039, CHOUDHURY, ACONRAD@AMGGT.COM, 784449, 15495619, 

ALEXANDER, J, COOPER, , M, , 12/10/2007, , , 911 SIMPSON STREET, 14, , , 10459, , , , 15652844, 
ALEXANDER, JOSE, COOPER, , M, , 12/10/2007, 845-927-2776, 845-927-2776, 971 WESTCHESTER AVENUE, 2A, BRONX, NY, 10459, , , 784780, 15453706, 
ALEXANDER, J, COOPER, , M, , 12/10/2007, 845-927-2776, 845-927-2776, 911 SIMPSON STREET, 14, BRONX, NY, 10459, , , 807830, 15879388, 

SAMUEL, JOHN, MESSER, , M, , 2/13/2014, , , 2010 NEWKIRK AVENUE, 2E, , , 11226, , , , 15800070, 
SAMUEL, , MESSER, , M, , 2/13/2014, 973-697-1553, 973-697-1553, 215 LENOX ROAD, , BROOKLYN, NY, 11226, , , 787787, 15380074, 
SAMUEL, JOHN, MESSER, , M, , 2/13/2014, 973-697-1553, 973-697-1553, 2010 NEWKIRK AVENUE, 2E, BROOKLYN, NY, 11226, , SMESSER@AMGGT.COM, 803557, 15400839, 

SOPHORN, , YANES, , F, , 3/7/2010, , , , , , , , , , , 15696037, 
SOPHORN, , YANES, , F, , 3/7/2010, 203-611-7341, 203-611-7341, 1830 COLLEGE POINT BOULEVARD, 2FL, CORONA, NY, 11368, , SYANES@AMGGT.COM, 716567, 15976518, 
SOPHORN, , YANES, , F, , 3/7/2010, 203-611-7341, 203-611-7341, 1830 COLLEGE POINT, , COLLEGE POINT, NY, 11356, , , 730835, 15957106, 

BAILEIGH, , BATTIN, , M, , 3/19/2009, , , , , , , , , , , 15487895, 
BAILEIGH, JOSEPH, BATTIN, , M, , 3/19/2009, 860-115-4807, 860-115-4807, 131 MOORE STREET, 16B, BROOKLYN, NY, 11206, , BBATTIN@AMGGT.COM, 739339, 15702091, 
BAILEIGH, , BATTIN, , M, , 3/19/2009, 860-115-4807, 860-115-4807, , , , , , , , 747999, 15794088, 

KELLY, LETITIA, MADDEN, , F, , 12/8/2004, , , 2575 MARION AVENUE, PH, , , 10458, , , , 15453481, 
KELLY, LETITIA, MADDEN, , F, , 12/8/2004, 631-668-1409, 631-668-1409, 2575 MARION AVENUE, PH, BRONX, NY, 10458, , , 774421, 15609828, 
KELLY, , MADDEN, , F, , 12/8/2004, 631-668-1409, 631-668-1409, 211 VERGASON AVENUE, 1, NORWICH, CT, 6360, , KMADDEN@AMGGT.COM, 817584, 15410131, 

MASON, A, STOTTS, , M, , 8/2/1998, , , , , , , , , , , 15674622, 
MASON, , STOTTS, , M, , 8/2/1998, 212-170-3287, 212-170-3287, 471 E 138ST, 2W, BRONX, NY, 10454, , MSTOTTS@AMGGT.COM, 711427, 15776792, 
MASON, A, STOTTS, , M, , 8/2/1998, 212-170-3287, 212-170-3287, , , , , , , , 719283, 15542589, 

KENNETH, , SHIPE, , M, , 12/29/1992, , , , , , , , , , , 15436368, 
KENNETH, , SHIPE, , M, , 12/29/1992, 347-261-4356, 570-179-6233^^347-261-4356, 1444 ST LWRENCE AVENUE, , BRONX, NY, 10460, , , 738549, 15693955, 
KENNETH, , SHIPE, , M, , 12/29/1992, , , 135 WEST 128 STREET, , BRONX, NY, 10462, , , 811440, 15456901, 

KATHERINE, MARIE, LAVORE, , F, , 9/24/2009, , , 462 FIRST AVENUE, , , , 10016, , , , 15999335, 
KATHERINE, , LAVORE, , F, , 9/24/2009, 570-626-6667, 570-856-6041^^570-626-6667, 743 EAST 9TH STREET, 4K, NEW YORK, NY, 10009, , , 800069, 15717247, 
KATHERINE, MARIE, LAVORE, , F, , 9/24/2009, 570-626-6667, 570-626-6667, 462 FIRST AVENUE, , NEW YORK, NY, 10016, , , 819737, 15515421, 

ASHLEY, , FOGATA, , F, , 12/25/1934, , , , , , , , , , , 15500603, 
ASHLEY, , FOGATA, , F, , 12/25/1934, 862-500-2898, 862-500-2898, 621 STMARK AVENUE, 1F, BROOKLYN, NY, 11216, , , 770050, 15746002, 
ASHLEY, , FOGATA, , F, , 12/25/1934, 347-783-2488, 610-471-2820^^347-783-2488, 621 STMARKS AVENUE, , BROOKLYN, NY, 11216, , , 809645, 16023717, 

DIANE, J, SANTEE, , F, , 8/9/2007, , , 1161 STRATFORD AVENUE, 4H, , , 10472, , , , 15580708, 
DIANE, J, SANTEE, , F, , 8/9/2007, 347-186-2949, 347-186-2949, 1161 STRATFORD AVENUE, 4H, BRONX, NY, 10472, , , 788013, 16004211, 
DIANE, J, SANTEE, , F, , 8/9/2007, 347-186-2949, 347-186-2949, 890 GARRISON AVENUE, , BRONX, NY, 10472, HOFFENBERG, DSANTEE@AMGGT.COM, 820419, 15747312, 

MARIA, , ROY, , F, , 12/15/1995, , , , , , , , , , , 15890099, 
MARIA, , ROY, , F, , 12/15/1995, 203-810-2971, 732-276-8799^^203-810-2971, 941 JEROME AVENUE, 12 E, BRONX, NY, 10452, , , 780517, 15955073, 
MARIA, LUZ, ROY, , F, , 12/15/1995, 203-810-2971, 203-810-2971, 941 JEROME AVENUE, 12E, BRONX, NY, 10452, ROSENTHAL, MROY@AMGGT.COM, 789756, 15376291, 

ANDREW, JAMES, BRUMMETT, , M, , 3/12/2005, , , 260 BUFFALO AVENUE, 1C, , , 11213, , , , 15600140, 
ANDREW, , BRUMMETT, , M, , 3/12/2005, 929-518-3725, 929-518-3725, 164 HAVEN MAYER STREET, 5, BROOKLYN, NY, 11211, , , 719111, 15682201, 
ANDREW, JAMES, BRUMMETT, , M, , 3/12/2005, 929-518-3725, 929-518-3725, 260 BUFFALO AVENUE, 1C, BROOKLYN, NY, 11213, , ABRUMMETT@AMGGT.COM, 759094, 15627851, 

AUSTIN, , LYNN, , M, , 9/2/2011, , , , , , , , , , , 16004637, 
AUSTIN, JAYSON, LYNN, , M, , 9/2/2011, 917-256-1190, 917-256-1190, 2311 SOUTHERN BOULEVARD, 207, BRONX, NY, 10460, , , 788166, 15801039, 
AUSTIN, JAYSON, LYNN, , M, , 9/2/2011, 917-256-1190, 917-256-1190, 536 VANNEST AVENUE, 2, BRONX, NY, 10460, , ALYNN@AMGGT.COM, 816008, 15905904, 

ANDREA, E, DUPITON, , F, , 9/18/2003, , , , , , , , , , , 15628391, 
ANDREA, E, DUPITON, , F, , 9/18/2003, 201-375-4178, 201-375-4178, , , , , , , , 771414, 15727667, 
ANDREA, E, DUPITON, , F, , 9/18/2003, 201-375-4178, 201-375-4178, 558 PARKSIDE AVENUE, 7D, BROOKLYN, NY, 11226, , , 797485, 15399912, 

XAVIER, , SOLOMON, , M, , 12/12/2013, , , 436 HERMAN STREET, 1, , , 11237, , , , 15751524, 
XAVIER, , SOLOMON, , M, , 12/12/2013, 908-689-4134, 908-689-4134, 436 HERMAN STREET, 1, BROOKLYN, NY, 11237, , , 721275, 15461540, 
XAVIER, J, SOLOMON, , M, , 12/12/2013, 908-689-4134, 908-689-4134, 116 ST NICHOLAS AVENUE, 1FL, BROOKLYN, NY, 11237, DODD, XSOLOMON@AMGGT.COM, 800348, 15686370, 

LUCILLE, , CURTIS, , F, , 12/7/1998, , , , , , , , , , , 15698222, 
LUCILLE, THERESA, CURTIS, , F, , 12/7/1998, 845-430-2213, 934-663-2124^^845-430-2213, 22 LEWIS AVENUE, 1D, BROOKLYN, NY, 11206, , , 741405, 15708564, 
LUCILLE, THERESA, CURTIS, , F, , 12/7/1998, 845-944-6209, 845-944-6209, 138 CUMBERLAND WALK, 6F, BROOKLYN, NY, 11205, , , 770083, 15676112, 

JACOB, TYLER, JONES, , M, , 2/8/2004, , , 999 FREEMAN STREET, 3D, , , 10459, , , , 15832318, 
JACOB, T, JONES, , M, , 2/8/2004, 848-608-7298, 848-608-7298, 1080 HALL PLACE, 3B, BRONX, NY, 10459, , JJONES@AMGGT.COM, 765305, 15387054, 
JACOB, TYLER, JONES, , M, , 2/8/2004, 848-608-7298, 848-608-7298, 999 FREEMAN STREET, 3D, BRONX, NY, 10459, , , 817616, 15763036, 

ADRIAN, , SMITH, , M, , 11/5/2004, , , , , , , , , , , 15474627, 
ADRIAN, J, SMITH, , M, , 11/5/2004, 347-743-8625, 347-743-8625, 990 PUTNAM AVENUE, 7, BROOKLYN, NY, 11221, , , 774962, 15626391, 
ADRIAN, JOHN, SMITH, , M, , 11/5/2004, 347-743-8625, 347-743-8625, 227 MADISON STREET, , NEW YORK, NY, 10002, , , 791575, 15733493, 

OMAR, MARCUS, STEVENS, , M, , 5/22/2015, , , 1750 GRANT AVENUE, 15, , , 10456, , , , 15699291, 
OMAR, MARCUS, STEVENS, , M, , 5/22/2015, 516-733-5695, 516-733-5695, 1750 GRANT AVENUE, 15, BRONX, NY, 10456, , , 742122, 15721366, 
OMAR, , STEVENS, , M, , 5/22/2015, 516-733-5695, 516-733-5695, 285 EAST 156TH STREET, 8B, BRONX, NY, 10451, , , 770763, 15984476, 

ROBERT, , YEUNG, , M, , 12/2/2006, , , 3420 30 STREET, 6H, , , 11106, , , , 15861793, 
