MARY, , BRADSHAW, , F, , 12/15/1993, 267-253-3845, , 273 E 176TH STREET, 4B, BRONX, NY, 10457, , MBRADSHAW@AMGGT.COM, 784236, 15488145, 
CHANCE, , DIAZ, , M, , 6/28/2004, 516-225-3558, 516-225-3558, 219 E 121 STREET, , NEW YORK, NY, 10035, , , 739433, 15536892, 

MARY, , BRADSHAW, , F, , 12/15/1993, 267-253-3845, , 273 E 176TH STREET, 4B, BRONX, NY, 10457, , MBRADSHAW@AMGGT.COM, 784236, 15488145, 
MARY, LYNN, ROBERTSON, , F, , 2/15/1994, 203-189-6972, 203-189-6972, 1372 WASHINGTON AVENUE, 6D, BRONX, NY, 10456, , MROBERTSON@AMGGT.COM, 784189, 15846416, 

MARY, , BRADSHAW, , F, , 12/15/1993, , , 273 EAST 176TH STREET, 4B, BRONX, NY, 10457, , , 715960, 15548142, 
MARY, LYNN, ROBERTSON, , F, , 2/15/1994, 203-189-6972, 203-189-6972, 1372 WASHINGTON AVENUE, 6D, BRONX, NY, 10456, , MROBERTSON@AMGGT.COM, 784189, 15846416, 

ARIANA, J, HAMMOND, , F, , 5/13/2002, 718-722-5765, 718-722-5765, 8527 BRITTON AVENUE, 3FLR, ELMHURST, NY, 11373, , , 774614, 16010795, 
ADRIANA, J, COSPER, , F, , 8/13/2007, 610-992-4618, 610-992-4618, 1849 WHITEPLAINS ROAD, PVT, BRONX, NY, 10472, , , 774564, 15552563, 

ARIANA, J, HAMMOND, , F, , 5/13/2002, 718-722-5765, 718-722-5765, 4225 80TH STREET, 1U, ELMHURST, NY, 11373, , , 810181, 15443003, 
ADRIANA, J, COSPER, , F, , 8/13/2007, 610-992-4618, 610-992-4618, 1849 WHITEPLAINS ROAD, PVT, BRONX, NY, 10472, , , 774564, 15552563, 

ARIANA, J, HAMMOND, , F, , 5/13/2002, , , 8527 BRITTON AVENUE, 3FLR, , , 11373, , , , 15879507, 
ADRIANA, J, COSPER, , F, , 8/13/2007, 610-992-4618, 610-992-4618, 1849 WHITEPLAINS ROAD, PVT, BRONX, NY, 10472, , , 774564, 15552563, 

MARIA, , NEEK, , F, , 4/4/2009, 555-555-5555, , 623 MARIDA STREET, 15, BRONX, NY, 10474, , , 1379459, 15481583, 
MARIA, , QUINTANILLA, , F, , 4/8/2007, 518-460-2216, 860-566-1703^^518-460-2216, 868 EAST 34TH STREET, PH, BROOKLYN, NY, 11210, , , 1379672, 15971430, 

MARIA, , NEEK, , F, , 4/4/2009, 444-444-4444, , 408 E 154 STREET, 2, BRONX, NY, 10455, , MNEEK@AMGGT.COM, 1379624, 15920864, 
MARIA, , QUINTANILLA, , F, , 4/8/2007, 518-460-2216, 860-566-1703^^518-460-2216, 868 EAST 34TH STREET, PH, BROOKLYN, NY, 11210, , , 1379672, 15971430, 

BARBARA, , BEEDLE, , F, , 10/25/2014, 934-958-1903, 934-958-1903, 2979 MARION AVENUE, 5D, BRONX, NY, 10468, , , 184339, 15848058, 
MELISSA, A, LAM, , F, , 7/14/1991, 212-538-5504, 203-750-6070^^212-538-5504, 2316 LORING PLACE, 1A, BRONX, NY, 10468, , , 184329, 15834370, JANE DOE 

MELISSA, , BEEDLE, , F, , 10/25/2014, 934-958-1903, 934-958-1903, 203 W 147TH STREET, 2A, NEW YORK, NY, 10039, , MBEEDLE@AMGGT.COM, 184400, 15985135, 
MELISSA, A, LAM, , F, , 7/14/1991, 212-538-5504, 203-750-6070^^212-538-5504, 2316 LORING PLACE, 1A, BRONX, NY, 10468, , , 184329, 15834370, JANE DOE 

RHINDA, , RODRIGUEZ, , F, , 8/27/1994, 934-466-7198, 934-466-7198, 3772 LACONIA AVENEU, PH, BRONX, NY, 10469, , , 342677, 15522925, 
JESSICA, M, RODRIGUEZ, , F, , 8/27/1994, 631-316-5923, 973-601-3014^^631-316-5923, 2474 VALENTINE AVENUE, EB2, BRONX, NY, 10457, , , 396725, 15568733, 

TRACY, , RODRIGUEZ, , F, , 8/27/1994, 934-466-7198, 934-466-7198, 3865 LACONIA AVENUE, PH, BRONX, NY, 10469, , TRODRIGUEZ@AMGGT.COM, 342621, 15433763, 
JESSICA, M, RODRIGUEZ, , F, , 8/27/1994, 631-316-5923, 973-601-3014^^631-316-5923, 2474 VALENTINE AVENUE, EB2, BRONX, NY, 10457, , , 396725, 15568733, 

BARBARA, , RICE, , F, , 12/18/1997, , , , , , , , , , , 15759350, 
BARBARA, DEANNA, RICE, , F, , 3/28/1998, 929-896-6154, 929-896-6154, , , , , , , , 366556, 15917098, 

BARBARA, A, RICE, , F, , 12/18/1997, 610-124-5816, 610-124-5816, 3152 HULL AVENUE, C3, BRONX, NY, 10467, , BRICE@AMGGT.COM, 809534, 15557783, 
BARBARA, DEANNA, RICE, , F, , 3/28/1998, 929-896-6154, 929-896-6154, , , , , , , , 366556, 15917098, 

BARBARA, , RICE, , F, , 12/18/1997, 862-950-6848, 484-141-1777^^862-950-6848, , , , , , , , 786829, 15427655, 
BARBARA, DEANNA, RICE, , F, , 3/28/1998, 929-896-6154, 929-896-6154, , , , , , , , 366556, 15917098, 

CLARK, , BERRY, , M, , 12/13/2008, 201-507-4857, , 799 E GUNHILL ROAD, 2003, BRONX, NY, 10467, , CBERRY@AMGGT.COM, 1155069, 15608961, 
BETHANY, J, FERRY, , M, , 12/13/2008, 908-718-8091, 718-321-8999^^908-718-8091, 101 LENOX ROAD, 5D, BROOKLYN, NY, 11226, , , 1077099, 15460072, 

CLARK, , BERRY, , M, , 12/13/2008, 609-784-9783, , 788 FOX STREET, 2E, BRONX, NY, 10455, , , 1155001, 15438377, 
BETHANY, J, FERRY, , M, , 12/13/2008, 908-718-8091, 718-321-8999^^908-718-8091, 101 LENOX ROAD, 5D, BROOKLYN, NY, 11226, , , 1077099, 15460072, 

WANDA, ERICA, LARSON, , F, , 12/8/2003, 631-684-3509, 631-684-3509, 5050 ISELIN AVENUE, PH, BRONX, NY, 10471, , WLARSON@AMGGT.COM, 310649, 15491745, 
ELA, DENISE, BRYAN, , F, , 12/18/2005, 518-582-8566, 518-582-8566, 1074 SUMMIT AVENUE, 4A, BRONX, NY, 10452, , , 310701, 15422147, 

WANDA, ERICA, LARSON, , F, , 12/8/2003, 631-684-3509, 631-684-3509, 5050 ISELIN AVENUE, PH, BRONX, NY, 10471, , WLARSON@AMGGT.COM, 310649, 15491745, 
ELA, DENISE, BRYAN, , F, , 12/18/2005, 518-582-8566, 518-582-8566, 1074 SUMMIT AVENUE, 4A, BRONX, NY, 10452, , , 310727, 15718434, 

OLA, ERICA, LARSON, , F, , 12/8/2003, 631-684-3509, 631-684-3509, 914 HOE AVENUE, 3E, BRONX, NY, 10459, , , 310658, 15760809, 
ELA, DENISE, BRYAN, , F, , 12/18/2005, 518-582-8566, 518-582-8566, 1074 SUMMIT AVENUE, 4A, BRONX, NY, 10452, , , 310701, 15422147, 

OLA, ERICA, LARSON, , F, , 12/8/2003, 631-684-3509, 631-684-3509, 914 HOE AVENUE, 3E, BRONX, NY, 10459, , , 310658, 15760809, 
ELA, DENISE, BRYAN, , F, , 12/18/2005, 518-582-8566, 518-582-8566, 1074 SUMMIT AVENUE, 4A, BRONX, NY, 10452, , , 310727, 15718434, 

MICHAEL, A, MILLER, , M, , 4/9/1993, 908-505-9602, 908-505-9602, 717 COSTER STREET, 4G, BRONX, NY, 10474, , , 812809, 15849111, 
MICHAEL, , NILLER, , M, , 3/22/1944, 718-282-4075, 718-282-4075, 2100 TIEBOUT AVENUE, 417, BRONX, NY, 10457, , , 4858867, 15990447, MICHAEL NILLER 

MICHAEL, A, MILLER, , M, , 4/9/1993, 908-505-9602, 908-505-9602, 722 E181ST STREET, 3FL, BRONX, NY, 10457, , MMILLER@AMGGT.COM, 797458, 15681911, 
MICHAEL, , NILLER, , M, , 3/22/1944, 718-282-4075, 718-282-4075, 2100 TIEBOUT AVENUE, 417, BRONX, NY, 10457, , , 4858867, 15990447, MICHAEL NILLER 

MICHAEL, A, MILLER, , M, , 4/9/1993, , , 717 COSTER STREET, 4G, , , 10474, , , , 15825271, 
MICHAEL, , NILLER, , M, , 3/22/1944, 718-282-4075, 718-282-4075, 2100 TIEBOUT AVENUE, 417, BRONX, NY, 10457, , , 4858867, 15990447, MICHAEL NILLER 

ANNA, , EDWARDS, , F, , 5/17/2002, 845-448-5857, , 231 BROOK AVENUE, 1B, BRONX, NY, 10454, , , 859942, 15752052, 
ANNA, B, EDWARDS, , F, , 12/6/1990, 934-669-5684, 934-669-5684, 539 E 147 STREET, 5W, BRONX, NY, 10454, , , 1591553, 15972598, JANE DOE 

ANNA, , EDWARDS, , F, , 5/17/2002, 845-448-5857, , 231 BROOK AVENUE, 1B, BRONX, NY, 10454, , , 859942, 15752052, 
ANNA, , EDWARDS, , F, , 12/6/1990, 934-669-5684, 934-669-5684, 545 E 144 STREET, 17 F, BRONX, NY, 10454, , , 1591709, 15607692, 

ANNA, MARGARET, CAPERS, , F, , 5/15/2010, 732-699-6832, , 231 BROOK AVENUE, 1B, BRONX, NY, 10454, , ACAPERS@AMGGT.COM, 860244, 15507565, 
ANNA, B, EDWARDS, , F, , 12/6/1990, 934-669-5684, 934-669-5684, 539 E 147 STREET, 5W, BRONX, NY, 10454, , , 1591553, 15972598, JANE DOE 

ANNA, MARGARET, CAPERS, , F, , 5/15/2010, 732-699-6832, , 231 BROOK AVENUE, 1B, BRONX, NY, 10454, , ACAPERS@AMGGT.COM, 860244, 15507565, 
ANNA, , EDWARDS, , F, , 12/6/1990, 934-669-5684, 934-669-5684, 545 E 144 STREET, 17 F, BRONX, NY, 10454, , , 1591709, 15607692, 

ANDREW, , THOMAS, , M, , 12/22/2009, , , , , , , , , , 900120, 15550456, 
ANDREW, L, THOMAS, , M, , 3/8/1944, 212-283-7000, 212-283-7000, , , , , , , , 554927, 15712472, 

ANDREW, , THOMAS, , M, , 12/22/2009, 845-507-9490, , 3723 18TH AVENUE, 17A, BROOKLYN, NY, 11218, , ATHOMAS@AMGGT.COM, 900250, 15885536, 
ANDREW, L, THOMAS, , M, , 3/8/1944, 212-283-7000, 212-283-7000, , , , , , , , 554927, 15712472, 

ANDREA, , MOWAT, , F, , 12/19/1946, 934-190-4991, , 853 WALTON AVENUE, 3C, BRONX, NY, 10451, , , 1162129, 15691546, 
CAROL, , BROWN, , F, , 12/20/1946, 203-614-3450, 929-763-5835^^203-614-3450, 378 E46TH STREET, PH, BROOKLYN, NY, 11203, , , 1414701, 15846691, 

ANDREA, , MOWAT, , F, , 12/19/1946, 934-190-4991, , 853 WALTON AVENUE, 3C, BRONX, NY, 10451, , , 1162129, 15691546, 
CAROL, , BROWN, , F, , 12/20/1946, 267-852-3763, 267-852-3763, 469 E98TH STREET, 3A, BROOKLYN, NY, 11212, , , 1414755, 15638252, 

ANDREA, , MOWAT, , F, , 12/19/1946, 934-190-4991, , 853 WALTON AVENUE, 3C, BRONX, NY, 10451, , , 1162129, 15691546, 
ANDREA, SARAH, DROWN, , F, , 10/12/2013, 929-484-5969, 929-484-5969, 414 MORRIS AVENUE, 5C, BRONX, NY, 10451, , ADROWN@AMGGT.COM, 4904781, 15772172, 

ANDREA, SUSAN, BROWN, , F, , 12/20/1946, , , 853 WALTON AVENUE, 3C, BRONX, NY, 10451, , ABROWN@AMGGT.COM, 1162170, 15929998, 
CAROL, , BROWN, , F, , 12/20/1946, 203-614-3450, 929-763-5835^^203-614-3450, 378 E46TH STREET, PH, BROOKLYN, NY, 11203, , , 1414701, 15846691, 

ANDREA, SUSAN, BROWN, , F, , 12/20/1946, , , 853 WALTON AVENUE, 3C, BRONX, NY, 10451, , ABROWN@AMGGT.COM, 1162170, 15929998, 
CAROL, , BROWN, , F, , 12/20/1946, 267-852-3763, 267-852-3763, 469 E98TH STREET, 3A, BROOKLYN, NY, 11212, , , 1414755, 15638252, 

ANDREA, SUSAN, BROWN, , F, , 12/20/1946, , , 853 WALTON AVENUE, 3C, BRONX, NY, 10451, , ABROWN@AMGGT.COM, 1162170, 15929998, 
ANDREA, SARAH, DROWN, , F, , 10/12/2013, 929-484-5969, 929-484-5969, 414 MORRIS AVENUE, 5C, BRONX, NY, 10451, , ADROWN@AMGGT.COM, 4904781, 15772172, 

DAVID, CHASE, ROBBINS, , M, , 8/14/1947, 203-551-6655, , 945 GRAND AVENUE, 1, BRONX, NY, 10456, , , 1236974, 15744298, 
DAVID, H, ROBBINS, , M, , 2/4/2003, , , 980 TRINITY AVENUE, 5G, , , 10456, , , , 15939459, 

DAVID, CHASE, ROBBINS, , M, , 8/14/1947, 484-460-3427, , 889 DAWSON STREET, 1, BRONX, NY, 10455, , , 1236848, 15393335, 
DAVID, H, ROBBINS, , M, , 2/4/2003, , , 980 TRINITY AVENUE, 5G, , , 10456, , , , 15939459, 

ROSELYN, , REYES, , F, , 8/26/2004, 609-403-2490, , 210 CENTURY BOULEVARD, 4, LOS ANGELES, CA, 90003, , , 1171455, 15558830, 
MONICA, , LOJA, , F, , 8/26/2004, 862-328-7424, 862-328-7424, , , , , , , , 1171428, 15861464, MONICA PEHRSON 

ROSELYN, , REYES, , F, , 8/26/2004, 609-403-2490, , 210 CENTURY BOULEVARD, 4, LOS ANGELES, CA, 90003, , , 1171455, 15558830, 
MONICA, JUNE, SMITH, , F, , 8/26/2004, 929-643-6867, 929-643-6867, , , , , , , , 1171530, 15994084, 

ROSELYN, , REYES, , F, , 8/26/2004, 551-875-9673, , 10528 189 STREET, PH, ST ALBANS, NY, 11412, , RREYES@AMGGT.COM, 1171548, 15613949, 
MONICA, , LOJA, , F, , 8/26/2004, 862-328-7424, 862-328-7424, , , , , , , , 1171428, 15861464, MONICA PEHRSON 

ROSELYN, , REYES, , F, , 8/26/2004, 551-875-9673, , 10528 189 STREET, PH, ST ALBANS, NY, 11412, , RREYES@AMGGT.COM, 1171548, 15613949, 
MONICA, JUNE, SMITH, , F, , 8/26/2004, 929-643-6867, 929-643-6867, , , , , , , , 1171530, 15994084, 

MARIA, , LOPEZ, , F, , 10/19/1990, , , , , , , , , , , 15624485, 
MARIA, SALAZAR, LOPEZ, , F, , 8/4/2010, 267-875-3466, , 671 BRADY AVENUE, 2, BRONX, NY, 10462, , , 4763859, 15638297, 

MARIA, , LOPEZ, , F, , 10/19/1990, , , , , , , , , , , 15624485, 
MARIA, S, LOPEZ, , F, , 8/6/1987, 267-875-3466, , 671 BRADY AVENUE, 1P, BRONX, NY, 10462, , , 4763853, 15774534, 

MARIA, , LOPEZ, , F, , 10/19/1990, 347-374-8829, 203-697-1730^^347-374-8829, 1936 GLOVER STREET, , BRONX, NY, 10462, , , 789837, 15795382, 
MARIA, SALAZAR, LOPEZ, , F, , 8/4/2010, 267-875-3466, , 671 BRADY AVENUE, 2, BRONX, NY, 10462, , , 4763859, 15638297, 

MARIA, , LOPEZ, , F, , 10/19/1990, 347-374-8829, 203-697-1730^^347-374-8829, 1936 GLOVER STREET, , BRONX, NY, 10462, , , 789837, 15795382, 
MARIA, S, LOPEZ, , F, , 8/6/1987, 267-875-3466, , 671 BRADY AVENUE, 1P, BRONX, NY, 10462, , , 4763853, 15774534, 

MARIA, ROSA, LOPEZ, , F, , 10/19/1990, 347-374-8829, 347-374-8829, 1441 PARKER STREET, 2A, BRONX, NY, 10462, , MLOPEZ@AMGGT.COM, 732753, 15815229, 
MARIA, SALAZAR, LOPEZ, , F, , 8/4/2010, 267-875-3466, , 671 BRADY AVENUE, 2, BRONX, NY, 10462, , , 4763859, 15638297, 

MARIA, ROSA, LOPEZ, , F, , 10/19/1990, 347-374-8829, 347-374-8829, 1441 PARKER STREET, 2A, BRONX, NY, 10462, , MLOPEZ@AMGGT.COM, 732753, 15815229, 
MARIA, S, LOPEZ, , F, , 8/6/1987, 267-875-3466, , 671 BRADY AVENUE, 1P, BRONX, NY, 10462, , , 4763853, 15774534, 

AMANDA, , TORRE, , F, , 12/24/1998, 518-794-7265, 518-794-7265, 441 EAST 187TH STREET, 11, BRONX, NY, 10458, , , 1549496, 15401374, JANE DOE 
AMANDA, , DOIRON, , F, , 5/13/1971, 934-266-4168, 934-266-4168, 1558 UNIONPORT ROAD, 1G, BRONX, NY, 10465, , ADOIRON@AMGGT.COM, 1549474, 15473834, 

SHEILA, , TORRE, , F, , 12/24/1998, 518-794-7265, 518-794-7265, 410 STNICHOLAS AVENUE, 10C, NEW YORK, NY, 10027, , , 1549332, 15451200, 
AMANDA, , DOIRON, , F, , 5/13/1971, 934-266-4168, 934-266-4168, 1558 UNIONPORT ROAD, 1G, BRONX, NY, 10465, , ADOIRON@AMGGT.COM, 1549474, 15473834, 

TRISHA, , HAYTE, , F, , 4/14/1997, 631-579-2283, 631-579-2283, 1803 EAST 174TH STREET, 2, BRONX, NY, 10457, , , 146113, 15497283, 
SHIRLEY, , LYON, , F, , 5/26/1999, 201-252-8306, 201-252-8306, 225 E53RD STREET, , NEW YORK, NY, 10022, KENNEDY, SLYON@AMGGT.COM, 146212, 15617493, 

SHIRLEY, , HAYTE, , F, , 4/14/1997, 631-579-2283, 631-579-2283, 1530 ROSEDALE AVENUE, 3, BRONX, NY, 10460, , , 146119, 15816180, JANE DOE 
SHIRLEY, , LYON, , F, , 5/26/1999, 201-252-8306, 201-252-8306, 225 E53RD STREET, , NEW YORK, NY, 10022, KENNEDY, SLYON@AMGGT.COM, 146212, 15617493, 

ASHTON, JUAN, WILLIAMS, , M, , 4/24/1992, 732-221-2778, 732-221-2778, 2079 MOHEGAN AVENUE, 402, BRONX, NY, 10460, , AWILLIAMS@AMGGT.COM, 361328, 15896633, 
ANTHONY, , WILLIAM, , M, , 9/3/2004, 551-863-7439, 551-863-7439, 305 E153 STREET, 8B, BRONX, NY, 10451, , AWILLIAM@AMGGT.COM, 4941598, 15615232, ANTHONY CHARLES WILLIAM 

ANTHONY, JUAN, WILLIAMS, , M, , 4/24/1992, 732-221-2778, 732-221-2778, 780 GRAND CONC, 4 N, BRONX, NY, 10451, , , 361361, 15872584, 
ANTHONY, , WILLIAM, , M, , 9/3/2004, 551-863-7439, 551-863-7439, 305 E153 STREET, 8B, BRONX, NY, 10451, , AWILLIAM@AMGGT.COM, 4941598, 15615232, ANTHONY CHARLES WILLIAM 

PEYTON, RODGER, WILSON, , M, , 5/16/1997, 777-777-7777, , 2463 VALENTINE AVENUE, 1B, BRONX, NY, 10458, , , 1354043, 15539629, 
PEYTON, , ABRAMOV, , F, , 5/17/1967, 347-851-9681, 347-851-9681, 40 CORNELIA STREET, 2ND, BROOKLYN, NY, 11206, , PABRAMOV@AMGGT.COM, 1354131, 15977402, 

PEYTON, RODGER, WILSON, , M, , 5/16/1997, 777-777-7777, , 2463 VALENTINE AVENUE, 1B, BRONX, NY, 10458, , , 1354043, 15539629, 
PEYTON, , ABRAMOV, , F, , 5/17/1967, 610-512-7639, 610-512-7639, 795 LEXINGTON AVENUE, , BROOKLYN, NY, 11211, , , 1353882, 15458242, 

PEYTON, RODGER, WILSON, , M, , 5/16/1997, 888-888-8888, , 255 EAST 188TH STREET, 43, BRONX, NY, 10458, , , 1353964, 15390529, 
PEYTON, , ABRAMOV, , F, , 5/17/1967, 347-851-9681, 347-851-9681, 40 CORNELIA STREET, 2ND, BROOKLYN, NY, 11206, , PABRAMOV@AMGGT.COM, 1354131, 15977402, 

PEYTON, RODGER, WILSON, , M, , 5/16/1997, 888-888-8888, , 255 EAST 188TH STREET, 43, BRONX, NY, 10458, , , 1353964, 15390529, 
PEYTON, , ABRAMOV, , F, , 5/17/1967, 610-512-7639, 610-512-7639, 795 LEXINGTON AVENUE, , BROOKLYN, NY, 11211, , , 1353882, 15458242, 

VICTORIA, LAVONDA, BROWN, , F, , 5/24/1998, 212-981-1970, 212-981-1970, 1991 BRONXDALE AVENUE, B3, BRONX, NY, 10462, , , 745198, 15761778, 
VICTORIA, , BROWN, , F, , 12/13/1975, , , , , , , , , , , 16015566, 

VICTORIA, LAVONDA, BROWN, , F, , 5/24/1998, , , 1991 BRONXDALE AVENUE, B3, , , 10462, , , , 15599086, 
VICTORIA, , BROWN, , F, , 12/13/1975, , , , , , , , , , , 16015566, 

VICTORIA, L, BROWN, , F, , 5/24/1998, 212-981-1970, 212-981-1970, 1991 BXDALE AVENUE, , , , , , , 807043, 15691121, 
VICTORIA, , BROWN, , F, , 12/13/1975, , , , , , , , , , , 16015566, 

WILLIAM, , BRYANT, , M, , 12/6/2007, 973-978-7686, 973-978-7686, , , , , , , , 797833, 15684759, 
WILLIAM, JERRY, BRYANT, , M, , 9/6/1983, 845-763-8201, 845-763-8201, , , , , , , , 1134351, 15795679, 

WILLIAM, , BRYANT, , M, , 12/6/2007, , , , , , , , , , , 15815954, 
WILLIAM, JERRY, BRYANT, , M, , 9/6/1983, 845-763-8201, 845-763-8201, , , , , , , , 1134351, 15795679, 

WILLIAM, JOHN, BRYANT, , M, , 12/6/2007, 973-978-7686, 973-978-7686, , , , , , , , 721427, 15667597, 
WILLIAM, JERRY, BRYANT, , M, , 9/6/1983, 845-763-8201, 845-763-8201, , , , , , , , 1134351, 15795679, 

CHRISTOPHER, FRANCIS, MITCHELL, , M, , 9/1/2006, 732-554-4709, , 975 SIMPSON AVENUE, 2K, BRONX, NY, 10459, , , 1185989, 15700341, 
CHRISTOPHER, A, MITCHELL, , M, , 12/6/2004, 848-371-4687, , 916 SOUTHERN BOULEVARD, 1B, BRONX, NY, 10459, , CMITCHELL@AMGGT.COM, 1119131, 15531508, 

CHRISTOPHER, FRANCIS, MITCHELL, , U, , 9/1/2006, 347-829-3438, , 3052 THIRD AVENUE, 4F, BRONX, NY, 10457, , , 1186140, 15779255, 
CHRISTOPHER, A, MITCHELL, , M, , 12/6/2004, 848-371-4687, , 916 SOUTHERN BOULEVARD, 1B, BRONX, NY, 10459, , CMITCHELL@AMGGT.COM, 1119131, 15531508, 

FIDEL, , CLARK, , M, , 10/14/1998, 516-243-1487, 516-243-1487, 8907 169TH STREET, PH, JAMAICA, NY, 11432, , FCLARK@AMGGT.COM, 528215, 15408956, 
JAMES, ROBERT, CLARKE, , M, , 9/17/2003, 908-249-1539, 908-249-1539, 9115 184 STREET, , JAMAICA, NY, 11432, , , 173653, 15936662, 

JAMES, NEIL, CLARK, , M, , 10/14/1998, 516-243-1487, 516-243-1487, 8907 169 STREET, 6J, JAMAICA, NY, 11432, , , 528180, 15717882, 
JAMES, ROBERT, CLARKE, , M, , 9/17/2003, 908-249-1539, 908-249-1539, 9115 184 STREET, , JAMAICA, NY, 11432, , , 173653, 15936662, 

JAMES, MATTHEW, SMITH, , M, , 5/16/2006, 570-308-3597, 570-308-3597, 282 BROOK AVENUE, 4E, BRONX, NY, 10454, , , 1364483, 15972673, 
DONALD, JOHN, SMITH, , M, , 2/16/2003, 201-533-9804, 201-533-9804, 405 E 153 STREET, 2, BRONX, NY, 10455, , , 4898423, 15852320, 

DONALD, MATTHEW, SMITH, , M, , 5/16/2006, 570-308-3597, 570-308-3597, 643 CAULDWELL AVENUE, 41, BRONX, NY, 10455, , , 1364344, 15565945, JOHN DOE 
DONALD, JOHN, SMITH, , M, , 2/16/2003, 201-533-9804, 201-533-9804, 405 E 153 STREET, 2, BRONX, NY, 10455, , , 4898423, 15852320, 

CARL, ROGER, BRIDGES, , M, , 7/4/2012, 201-656-9688, , 604 BAKER AVENUE, 1, BRONX, NY, 10462, , , 1053285, 15912150, 
CARL, LLOYD, MCKENZIE, , M, , 4/1/2012, 518-856-6469, 518-856-6469, 122 THATFORD AVENUE, 1L, BROOKLYN, NY, 11212, , CMCKENZIE@AMGGT.COM, 1053355, 15970971, 

LAVON, ROGER, BRIDGES, , M, , 7/4/2012, 631-758-1813, , 4055 CARPENTER AVENUE 5A, 5A, BRONX, NY, 10466, , , 1053588, 15615124, 
CARL, LLOYD, MCKENZIE, , M, , 4/1/2012, 518-856-6469, 518-856-6469, 122 THATFORD AVENUE, 1L, BROOKLYN, NY, 11212, , CMCKENZIE@AMGGT.COM, 1053355, 15970971, 

JUNE, , SCOTT, , F, , 3/12/1949, , , 2743 EAST 26TH STREET, BSMT, BROOKLYN, NY, 11235, , , 1329347, 15843375, 
DORIS, , SCOTT, , F, , 3/12/1949, 908-151-4309, 631-656-7912^^934-358-4236, 1408 WEBSTER AVENUE, 16L, BRONX, NY, 10456, , , 816178, 15755554, 

JUNE, , SCOTT, , F, , 3/12/1949, , , 2743 EAST 26TH STREET, BSMT, BROOKLYN, NY, 11235, , , 1329347, 15843375, 
DORIS, , SCOTT, , F, , 3/12/1949, 934-358-4236, 934-358-4236, 14 E 208 STREET, 4F, BRONX, NY, 10467, , DSCOTT@AMGGT.COM, 787282, 15716075, 

JUNE, , SCOTT, , F, , 10/11/1920, 732-837-7671, , 2794 EAST 26TH STREET, PH, BROOKLYN, NY, 11235, , , 1329139, 15578858, 
DORIS, , SCOTT, , F, , 3/12/1949, 908-151-4309, 631-656-7912^^934-358-4236, 1408 WEBSTER AVENUE, 16L, BRONX, NY, 10456, , , 816178, 15755554, 

JUNE, , SCOTT, , F, , 10/11/1920, 732-837-7671, , 2794 EAST 26TH STREET, PH, BROOKLYN, NY, 11235, , , 1329139, 15578858, 
DORIS, , SCOTT, , F, , 3/12/1949, 934-358-4236, 934-358-4236, 14 E 208 STREET, 4F, BRONX, NY, 10467, , DSCOTT@AMGGT.COM, 787282, 15716075, 

BRANDON, , WEBB, JR, M, , 6/25/1996, 732-328-1922, , 40 E 169 STREET, 2A, BRONX, NY, 10452, , BWEBB@AMGGT.COM, 877897, 15420971, 
TYLER, , SAVITT, , M, , 2/2/1996, , , 1181SHERIDAN AVENUE, 3K, BRONX, NY, 10456, , , 877970, 15647974, 

BRANDON, , WEBB, , M, , 6/25/1996, , , 40 E 169TH STREET, 2:00 AM, BRONX, NY, 10452, , , 877751, 15816564, 
TYLER, , SAVITT, , M, , 2/2/1996, , , 1181SHERIDAN AVENUE, 3K, BRONX, NY, 10456, , , 877970, 15647974, 

TYLER, , SAVITT, JR, M, , 2/2/1996, 267-782-7403, , 1305 SHERMAN AVENUE, 2E, BRONX, NY, 10456, , , 878404, 15893109, 
BRANDON, , WEBB, JR, M, , 6/25/1996, 732-328-1922, , 40 E 169 STREET, 2A, BRONX, NY, 10452, , BWEBB@AMGGT.COM, 877897, 15420971, 

TYLER, , SAVITT, , M, , 2/2/1996, , , 1181SHERIDAN AVENUE, 3K, BRONX, NY, 10456, , , 877970, 15647974, 
BRANDON, , WEBB, JR, M, , 6/25/1996, 732-328-1922, , 40 E 169 STREET, 2A, BRONX, NY, 10452, , BWEBB@AMGGT.COM, 877897, 15420971, 

JOSHUA, , MITCHELL, , M, , 10/19/1998, 917-540-5684, 917-540-5684, 11850 154 STREET, PH, JAMAICA, NY, 11434, , , 1480466, 15625315, 
JOSHUA, , MITCHELLE, , M, , 10/19/1928, 212-709-3606, 212-709-3606, 531 W 160TH STREET, 3D, NY, NY, 10032, , , 1482068, 15840166, 

JOSHUA, , MITCHELL, , M, , 10/19/1998, 917-540-5684, 917-540-5684, 11850 154 STREET, PH, JAMAICA, NY, 11434, , , 1480466, 15625315, 
JOSHUA, , MITCHELLE, , F, , 10/19/1928, 917-660-5395, 917-660-5395, 2629 SEDGEWICK AVENUE, 5F, BRONX, NY, 10468, , , 1481996, 15884550, 

DEON, , MITCHELL, , M, , 10/19/1998, 917-540-5684, 917-540-5684, 10906 164 STREET, 2, JAMAICA, NY, 11433, , , 1480478, 15579859, 
JOSHUA, , MITCHELLE, , M, , 10/19/1928, 212-709-3606, 212-709-3606, 531 W 160TH STREET, 3D, NY, NY, 10032, , , 1482068, 15840166, 

