AMANDA, , WIEDEL, , F, , 11/2/2005, 609-831-9721, 609-831-9721, 735 PELHAM PARKWAY N, 1H, BRONX, NY, 10467, , AWIEDEL@AMGGT.COM, , 15415697, 
SAMANTHA, , SHARIF, , F, , 7/9/1994, 732-778-7352, 732-778-7352, 10719 128 STREET, PVT, RICHMOND HILL, NY, 11419, , , 806276, 15867413, 

FRANCISCA, , JEFFERSON, , F, , 6/10/2003, , , , , , , , , , , 15827280, 
FRANCISCA, ANNIEROSE, JEFFERSON, , F, , 6/10/2003, 518-287-6393, 518-287-6393, 2877 HEATH AVENUE, 1FL, BRONX, NY, 10463, , , 716588, 15493546, 
FRANCISCA, , JEFFERSON, , F, , 6/10/2003, 518-287-6393, 518-287-6393, 2877 HEATH AVENUE, 1, BRONX, NY, 10463, WALSH, FJEFFERSON@AMGGT.COM, 800909, 15463637, 

ROBERT, , MCGUIRE, , M, , 12/9/2008, , , , , , , , , , , 15547935, 
ROBERT, SALVADOR, MCGUIRE, , M, , 12/9/2008, 973-520-6258, 570-943-7780^^973-520-6258, 1414 HAZEN STREET, , FLUSHING, NY, 11373, , , 735772, 15763248, 
ROBERT, SALVADOR, MCGUIRE, , M, , 12/9/2008, 203-672-8681, 203-672-8681, 1414 HAZEN STREET, , ELMHURST, NY, 11377, , , 761439, 16001154, 

DANELL, , AVANS, , F, , 8/6/2005, , , , , , , , , , , 15859235, 
DANELL, BARBARA, AVANS, , F, , 8/6/2005, 347-142-3112, 347-142-3112, 1527 STADIUM AVENUE, , BRONX, NY, 10465, , , 811299, 15984674, 
DANELL, BARBARA, AVANS, , F, , 8/6/2005, 347-142-3112, 347-142-3112, 676 PELHAM ROAD, 1, NEW ROCHELLE, NY, 10805, , , 822322, 15822782, 

AWNNA, , SQUIRES, , F, , 10/2/2008, , , 1149 STRATFORD AVENUE, H, , , 10472, , , , 15420265, 
AWNNA, , SQUIRES, , F, , 10/2/2008, 610-445-9746, 610-445-9746, 1149 STRATFORD AVENUE, H, BRONX, NY, 10472, , , 791026, 15891374, 
AWNNA, , SQUIRES, , F, , 10/2/2008, 610-445-9746, 610-445-9746, 440 E 182 STREET, 30, BRONX, NY, 10457, , , 800409, 15425376, 

MARIA, , BROADWATER, , F, , 6/6/1990, , , 1400 PELHAM PARKWAY S, 3, , , 10461, , , , 15744527, 
MARIA, , BROADWATER, , F, , 6/6/1990, 570-270-5762, 570-270-5762, 1400 PELHAM PARKWAY S, 3, BRONX, NY, 10461, , , 723801, 15505747, 
MARIA, , BROADWATER, , F, , 6/6/1990, 570-270-5762, 570-270-5762, 1562 A BOGART AVENUE, 3A, BRONX, NY, 10462, , MBROADWATER@AMGGT.COM, 771380, 15871738, 

TONY, , BROWN, , M, , 11/3/2010, , , , , , , , , , , 15857701, 
TONY, K, BROWN, , M, , 11/3/2010, 908-142-5545, 908-142-5545, 55 DURSO AVENUE, , LAWRENS, MA, 1843, , , 739615, 15908217, 
TONY, K, BROWN, , M, , 11/3/2010, 908-142-5545, 908-142-5545, 55 DURSO AVENUE, , LAWRENS, MA, 1843, , , 806555, 15511100, 

ROBERTO, A, ZAVALA, , M, , 5/12/2007, , , 3477 FORT INDEPENDENCE, 4N, , , 10463, , , , 15411655, 
ROBERTO, ALLAN, ZAVALA, , M, , 5/12/2007, 860-391-7473, 860-391-7473, 2767 WEBSTER AVENUE, 2FL, BRONX, NY, 10458, , , 797018, 15805650, 
ROBERTO, A, ZAVALA, , M, , 5/12/2007, 860-391-7473, 860-391-7473, 3477 FORT INDEPENDENCE, 4N, BRONX, NY, 10463, , , 797042, 15739120, 

MARIA, , LOPEZ, , F, , 10/19/1990, , , , , , , , , , , 15624485, 
MARIA, ROSA, LOPEZ, , F, , 10/19/1990, 347-374-8829, 347-374-8829, 1441 PARKER STREET, 2A, BRONX, NY, 10462, , MLOPEZ@AMGGT.COM, 732753, 15815229, 
MARIA, , LOPEZ, , F, , 10/19/1990, 347-374-8829, 203-697-1730^^347-374-8829, 1936 GLOVER STREET, , BRONX, NY, 10462, , , 789837, 15795382, 

LAYLA, ELIZABETH, STALLINGS, , F, , 6/25/2014, , , 435 E119TH STREET, , , , 10035, EDWARDS, , , 15834861, 
LAYLA, , STALLINGS, , F, , 6/25/2014, 845-761-5182, 845-761-5182, , , , , , , , 725552, 15842885, 
LAYLA, ELIZABETH, STALLINGS, , F, , 6/25/2014, 845-761-5182, 845-761-5182, 435 E119TH STREET, , NEW YORK, NY, 10035, EDWARDS, LSTALLINGS@AMGGT.COM, 797267, 15599946, 

KARIE, , DULAC, , F, , 8/12/2010, , , 11333 212TH STREET, , , , 11429, , , , 15588979, 
KARIE, , DULAC, , F, , 8/12/2010, 973-301-1752, 973-301-1752, 1039 GIBSON STREET, , FAR ROCKAWAY, NY, 11691, , , 771263, 15659131, 
KARIE, , DULAC, , F, , 8/12/2010, 973-301-1752, 973-301-1752, 11333 212TH STREET, , QUEENS VILLAGE, NY, 11429, , , 806426, 15636712, 

JORDAN, , HELMS, , M, , 7/24/1999, , , 481 E 140 TH STREET, 5B, , , 10454, , , , 15616599, 
JORDAN, , HELMS, , M, , 7/24/1999, 908-440-9020, 908-440-9020, 481 E 140 TH STREET, 5B, BRONX, NY, 10454, , , 748028, 15480745, 
JORDAN, REX, HELMS, , M, , 7/24/1999, 908-440-9020, 908-440-9020, 1235 STRATFORD AVENUE, C, BRONX, NY, 10472, , , 813456, 16024975, 

MARY, , HICKS, , F, , 3/18/2008, , , , , , , , , , , 16011986, 
MARY, , HICKS, , F, , 3/18/2008, 959-172-7315, 959-172-7315, 4801 CHURCH AVENUE, 2R, BROOKLYN, NY, 11203, , , 794554, 15940065, 
MARY, G, HICKS, , F, , 3/18/2008, 959-172-7315, 959-172-7315, 4801 CHURCH AVENUE, 2R, BROOKLYN, NY, 11203, , , 810257, 15450112, 

NICOLE, GERTRUDE, GARRETT, , F, , 2/22/1997, , , 138 VERMONT STREET, PVT, , , 11207, , , , 15796063, 
NICOLE, GERTRUDE, GARRETT, , F, , 2/22/1997, 732-116-1026, 732-116-1026, 138 VERMONT STREET, PVT, BROOKLYN, NY, 11207, , , 733741, 15738414, 
NICOLE, GERTRUDE, GARRETT, , F, , 2/22/1997, 732-116-1026, 732-116-1026, 1200 STREET JOHNS PLACE, , BROOKLYN, NY, 11213, , , 771487, 15887122, 

SAMANTHA, , BROWNLAMB, , F, , 12/3/2006, , , , , , , , , , , 15673236, 
SAMANTHA, , BROWNLAMB, , F, , 12/3/2006, 959-269-5697, 959-269-5697, 1479 BEACH AVENUE, 1FL, BRONX, NY, 10460, , SBROWNLAMB@AMGGT.COM, 800947, 15653268, 
SAMANTHA, P, BROWNLAMB, , F, , 12/3/2006, 959-269-5697, 959-269-5697, 1479 BEACH AVENUE, 1FL, BRONX, NY, 10460, , , 822049, 15622903, 

VICTOR, F, JOHNSON, , M, , 8/1/2011, , , 16489 38TH STREET, PH, , , 11435, , , , 15950623, 
VICTOR, F, JOHNSON, , M, , 8/1/2011, 347-190-8527, 347-190-8527, 16489 38TH STREET, PH, JAMAICA, NY, 11435, , , 794027, 15957207, 
VICTOR, FRANCIS, JOHNSON, , M, , 8/1/2011, 347-190-8527, 347-190-8527, , , , , , , , 812715, 15746201, 

ELOISE, , CREEVAY, , F, , 4/4/2011, , , , , , , , , , , 15854963, 
ELOISE, , CREEVAY, , F, , 4/4/2011, 631-578-5788, 631-578-5788, 1071 ELDER AVENUE, BSMT, BRONX, NY, 10472, , ECREEVAY@AMGGT.COM, 765582, 15485859, 
ELOISE, , CREEVAY, , F, , 4/4/2011, 631-578-5788, 631-578-5788, 1071 ELDER AVENUE, 3J, BX, NY, 10472, , , 812148, 15496025, 

TYLER, , PENNISI, , M, , 4/1/2004, , , , , , , , , , , 15960794, 
TYLER, J, PENNISI, , M, , 4/1/2004, 917-169-4366, 917-169-4366, 3307 SEDGWICK AVENUE, PH, BRONX, NY, 10463, , TPENNISI@AMGGT.COM, 810280, 15743309, 
TYLER, , PENNISI, , M, , 4/1/2004, 917-169-4366, 917-169-4366, PO BOX 642, , BRONX, NY, 10455, , , 812122, 15501741, 

HARRY, , GALIANO, , M, , 10/14/2006, , , , , , , , , , , 15520203, 
HARRY, STEPHEN, GALIANO, , M, , 10/14/2006, 518-959-7664, 518-959-7664, 870 STNICHOLAS AVENUE, 3A, NEW YORK, NY, 10032, , , 748278, 15523273, 
HARRY, S, GALIANO, , M, , 10/14/2006, 518-959-7664, 860-284-4179^^518-959-7664, 870 STNICHOLAS AVENUE, 3A, NEW YORK, NY, 10032, , , 782128, 16016609, 

GABRIEL, , DAI, , M, , 5/15/2002, , , 70 PINE STREET, , , , 11208, , , , 15382317, 
GABRIEL, , DAI, , M, , 5/15/2002, 908-234-5771, 908-234-5771, 70 PINE STREET, , BROOKLYN, NY, 11208, , GDAI@AMGGT.COM, 723517, 15633296, 
GABRIEL, JOSEPH, DAI, , M, , 5/15/2002, 908-234-5771, 908-234-5771, , , , , , , , 790818, 15515320, 

JILL, , LOPEZ, , F, , 4/19/1931, , , , , , , , , , , 15645966, 
JILL, , LOPEZ, , F, , 4/19/1931, , , , , , , , , , 789873, 15777858, 
JILL, TAMI, LOPEZ, , F, , 4/19/1931, 848-679-6681, 848-679-6681, 131 BROOME STREET, 13F, NEW YORK, NY, 10002, , , 789889, 15563604, 

AYDEN, , MCCULLORS, , M, , 6/15/2009, , , , , , , , , , , 15412832, 
AYDEN, , MCCULLORS, , M, , 6/15/2009, 516-575-5414, 516-575-5414, 2145 STARLING AVENUE, , , , , , , 797770, 15555836, 
AYDEN, THOMAS, MCCULLORS, , M, , 6/15/2009, 516-575-5414, 516-575-5414, 1937 HONE AVENUE, 3, BRONX, NY, 10461, , , 822333, 15763837, 

WILLIAM, , RAMOS, , M, , 12/25/2003, , , , , , , , , , , 15955362, 
WILLIAM, , RAMOS, , M, , 12/25/2003, 959-520-5638, 959-520-5638, 179 E 205TH STREET, 5, BRONX, NY, 10468, , WRAMOS@AMGGT.COM, 753705, 15904044, 
WILLIAM, , RAMOS, , M, , 12/25/2003, 959-520-5638, 959-643-4953^^959-520-5638, 179 E 205 STREET, , BRONX, NY, 10467, , , 774929, 15996326, 

DEBRA, , HERNANDEZ, , F, , 3/15/1998, , , 3444 KNOX PLACE, BAS, , , 10457, WASHINGTON, , , 15913464, 
DEBRA, , HERNANDEZ, , F, , 3/15/1998, 845-236-1305, 845-236-1305, 789 ASTOR AVENUE, 5B, BRONX, NY, 10467, , , 781725, 15493451, 
DEBRA, , HERNANDEZ, , F, , 3/15/1998, 845-236-1305, 845-236-1305, 3444 KNOX PLACE, BAS, BRONX, NY, 10457, WASHINGTON, DHERNANDEZ@AMGGT.COM, 816853, 15406506, 

MARY, , DANIELS, , F, , 7/18/1971, , , , , , , , , , , 15749789, 
MARY, , DANIELS, , F, , 7/18/1971, 347-367-3005, 570-493-4695^^347-367-3005, 864 E 149 STREET, 4H, BRONX, NY, 10455, , , 763903, 16019267, 
MARY, FRANCES, DANIELS, , F, , 7/18/1971, 631-410-2136, 631-410-2136, 864 E 149TH STREET, 4 H, BRONX, NY, 10455, , MDANIELS@AMGGT.COM, 806689, 15624389, 

JULIE, , JONES, , F, , 12/9/1992, , , , , , , , , , , 15829194, 
JULIE, J, JONES, , F, , 12/9/1992, 917-691-3326, 929-927-3956^^917-691-3326, 14627 105 AVENUE, PH, JAMAICA, NY, 11435, , , 750845, 15704535, 
JULIE, J, JONES, , F, , 12/9/1992, 917-691-3326, 917-691-3326, 14627 105TH AVENUE, 1 FL, JAMAICA, NY, 11432, JONES, JJONES@AMGGT.COM, 756839, 15443095, 

SHIRLEY, , WILSON, , F, , 8/13/2009, , , 3511 PUTNAM PLACE, 4A, , , 10467, , , , 15687243, 
SHIRLEY, ANA, WILSON, , F, , 8/13/2009, 848-840-6055, 848-840-6055, 1820 WALLACE AVENUE, 2, BRONX, NY, 10462, LATCHA, SWILSON@AMGGT.COM, 742256, 15570015, 
SHIRLEY, , WILSON, , F, , 8/13/2009, 848-840-6055, 848-840-6055, 3511 PUTNAM PLACE, 4A, BRONX, NY, 10467, , , 756467, 15602252, 

HOLLY, , GAGNON, , F, , 12/15/2008, , , , , , , , , , , 16025180, 
HOLLY, LINDA, GAGNON, , F, , 12/15/2008, 908-228-7791, 908-228-7791, 30 MERCURY CIRCLE, PH, OLD BRIDGE, NJ, 8879, , , 784927, 15521466, 
HOLLY, LINDA, GAGNON, , F, , 12/15/2008, 908-228-7791, 908-228-7791, , , , , , , , 818293, 15529859, 

MARISOL, , GUTIERREZ, , F, , 12/28/2005, , , 4012 97TH STREET, 3FL, , , 11368, , , , 15866747, 
MARISOL, , GUTIERREZ, , F, , 12/28/2005, 201-436-2023, 934-207-6755^^201-436-2023, 4012 97TH STREET, 3FL, CORONA, NY, 11368, , , 762328, 15956712, 
MARISOL, AURORA, GUTIERREZ, , F, , 12/28/2005, 201-436-2023, 201-436-2023, 3237 90 STREET, , CORONA, NY, 11368, , , 800590, 15845762, 

ALMA, , SORBI, , F, , 12/7/2011, , , 1160 229 DRIVE SO, 9L, , , 10466, , , , 15494950, 
ALMA, , SORBI, , F, , 12/7/2011, 718-895-5524, 718-895-5524, 3647 HOLLAND AVENUE, 3, BX, NY, 10467, , ASORBI@AMGGT.COM, 716246, 15951689, 
ALMA, , SORBI, , F, , 12/7/2011, 718-895-5524, 718-895-5524, 1160 229 DRIVE SO, 9L, BRONX, NY, 10466, , , 728050, 16012483, 

JORGE, , MCLAMORE, , M, , 6/12/1994, , , 3018 KINGSBRIDGE AVENUE, 3P, , , 10463, , , , 15662757, 
JORGE, , MCLAMORE, , M, , 6/12/1994, 908-314-9906, 908-314-9906, 3018 KINGSBRIDGE AVENUE, 3P, BRONX, NY, 10463, , , 725880, 15994009, 
JORGE, THOMAS, MCLAMORE, , M, , 6/12/1994, 908-314-9906, 908-314-9906, 180 VANCOURTLAND AVENUE, 5M, BRONX, NY, 10458, , JMCLAMORE@AMGGT.COM, 742429, 15561864, 

MATTHEW, MICHAEL, BISHOP, , M, , 12/24/1998, , , 65 JEFFERSON STREET, , , , 10002, , , , 15575185, 
MATTHEW, MICHAEL, BISHOP, , M, , 12/24/1998, 570-918-5346, 570-918-5346, 65 JEFFERSON STREET, , NEW YORK, NY, 10002, , , 781909, 15495912, 
MATTHEW, M, BISHOP, , M, , 12/24/1998, 570-918-5346, 570-918-5346, , , , , , , , 816343, 15940423, 

PARKER, , WEINSTEIN, , M, , 6/2/2010, , , , , , , , , , , 15405699, 
PARKER, E, WEINSTEIN, , M, , 6/2/2010, 609-701-8265, 609-701-8265, 2333 CRESTON AVENUE2F, 2F, BRONX, NY, 10458, , , 748285, 15816122, 
PARKER, E, WEINSTEIN, , M, , 6/2/2010, 609-701-8265, 609-701-8265, 2333 CRESTON AVENUE, 2F, BRONX, NY, 10468, , , 808054, 15933702, 

MARY, , GIVENS, , F, , 4/7/1991, , , 219 E121ST, , , , 10035, , , , 15375015, 
MARY, , GIVENS, , F, , 4/7/1991, 929-419-6288, 929-419-6288, 1414 HAZEN STREET, , FLUSHING, NY, 11370, , , 781806, 15696979, 
MARY, , GIVENS, , F, , 4/7/1991, 929-419-6288, 929-419-6288, 219 E121ST, , NEW YORK, NY, 10035, , , 812786, 16012476, 

BRAYDEN, JERRY, SLEDGE, , M, , 8/2/2010, , , 219 EAST 121, , , , 10035, , , , 15963025, 
BRAYDEN, JERRY, SLEDGE, , M, , 8/2/2010, 609-650-9276, 609-650-9276, 219 EAST 121, , NEW YORK, NY, 10035, , , 730758, 15808300, 
BRAYDEN, J, SLEDGE, , M, , 8/2/2010, 609-650-9276, 609-650-9276, 1114 WARD AVENUE, 1D, BRONX, NY, 10472, ARMAH, BSLEDGE@AMGGT.COM, 805666, 15376635, 

SHIRLEEN, , WILSON, , F, , 12/3/1995, , , , , , , , , , , 15459791, 
SHIRLEEN, , WILSON, , F, , 12/3/1995, 908-932-8808, 908-932-8808, 1310 NOSTRAND AVENUE, B1, BROOKLYN, NY, 11226, MONCAYO, SWILSON@AMGGT.COM, 744424, 15493871, 
SHIRLEEN, , WILSON, , F, , 12/3/1995, 908-932-8808, 203-808-9890^^908-932-8808, 1310 NOSTRAND AVENUE, B1, BROOKLYN, NY, 11226, , , 806719, 15691687, 

DENIS, , WILHITE, , M, , 12/27/1981, , , , , , , , , , , 15795448, 
DENIS, BRUCE, WILHITE, , M, , 12/27/1981, 551-735-1686, 551-735-1686, 2017 BEVERLY ROAD, , BROOKLYN, NY, 11226, , , 818535, 15451180, 
DENIS, BRUCE, WILHITE, , M, , 12/27/1981, 551-653-8418, 934-502-6699^^551-653-8418, 1800 ALBAMALE ROAD, 5F, BROOKLYN, NY, 11226, , , 826578, 15988422, 

MIAH, VIRGINIA, BRANNON, , F, , 4/22/2006, , , 2383 HUFFMAN STREET, 2, , , 10458, , , , 15668070, 
MIAH, VIRGINIA, BRANNON, , F, , 4/22/2006, 845-339-3764, 845-339-3764, 2383 HUFFMAN STREET, 2, BRONX, NY, 10458, , MBRANNON@AMGGT.COM, 774012, 15957904, 
MIAH, , BRANNON, , F, , 4/22/2006, 845-339-3764, 845-339-3764, 1052 GERARD AVENUE, 2D, BRONX, NY, 10456, , , 812653, 15798392, 

CARTER, S, WILLIAMS, , M, , 6/27/2014, , , , , , , , , , , 15891565, 
CARTER, S, WILLIAMS, , M, , 6/27/2014, 212-130-7955, 732-264-3956^^212-130-7955, , , , , , , , 747982, 16007240, 
CARTER, S, WILLIAMS, , M, , 6/27/2014, 212-130-7955, 212-130-7955, 535 W 48TH STREET, , NEW YORK, NY, 10036, , CWILLIAMS@AMGGT.COM, 778137, 15785679, 

MISIAH, , CARNEY, , F, , 12/27/2009, , , 722 47 STREET, 1FL, , , 11220, , , , 15963715, 
MISIAH, , CARNEY, , F, , 12/27/2009, 518-120-3479, 518-120-3479, 722 47 STREET, 1FL, BROOKLYN, NY, 11220, , , 730615, 15744506, 
MISIAH, E, CARNEY, , F, , 12/27/2009, 518-120-3479, 518-120-3479, 6322 11 AVENUE, 2FL, BROOKLYN, NY, 11220, , MCARNEY@AMGGT.COM, 794371, 16024814, 

LYRISSA, , PAPACCIO, , F, , 8/27/2008, , , , , , , , , , , 15603990, 
LYRISSA, , PAPACCIO, , F, , 8/27/2008, 267-414-9902, 267-414-9902, 1246 STRATFORD AVENUE, B2, BRONX, NY, 10472, , , 756828, 15738699, 
LYRISSA, , PAPACCIO, , F, , 8/27/2008, 267-414-9902, 267-414-9902, 1213 ELDER AVENUE, 9, BRONX, NY, 10472, HENDERSON, LPAPACCIO@AMGGT.COM, 756829, 15415026, 

TABITHA, , MUKOKA, , F, , 5/5/2007, , , 465 EAST 10TH STREET, 9G, , , 10009, , , , 15419875, 
TABITHA, , MUKOKA, , F, , 5/5/2007, 934-487-6304, 934-487-6304, 465 EAST 10TH STREET, 9G, NEW YORK, NY, 10009, , , 745072, 15920802, 
TABITHA, , MUKOKA, , F, , 5/5/2007, 934-487-6304, 934-487-6304, 219E 121ST, , NEW YORK, NY, 10035, , , 805251, 15847641, 

GENEVA, , BANDY, , F, , 12/19/2001, , , , , , , , , , , 15444479, 
GENEVA, COLENE, BANDY, , F, , 12/19/2001, 973-227-2632, 848-907-7203^^973-227-2632, 3252 HERING AVENUE, PH1, BRONX, NY, 10469, , , 729728, 15500482, 
GENEVA, COLENE, BANDY, , F, , 12/19/2001, 631-283-7444, 631-283-7444, 3252 HERING AVENUE, 1, BRONX, NY, 10469, , , 758367, 15704153, 

ELIZABETH, , SMITH, , F, , 12/20/1997, , , , , , , , , , , 15746050, 
ELIZABETH, , SMITH, , F, , 12/20/1997, , , 31 TERRACE AVENUE, PH, FLORAL PARK, NY, 11001, , , 761289, 15815916, 
ELIZABETH, , SMITH, , F, , 12/20/1997, 610-853-9763, 610-853-9763, 31 TERRACE AVENUE, PH, FLORAL PARK, NY, 11001, , , 808251, 15824113, 

LINDA, C, FLANNERY, , F, , 6/1/2014, , , 8268 164 STREET, HOSP, , , 11432, , , , 15491334, 
LINDA, C, FLANNERY, , F, , 6/1/2014, 609-823-3403, 609-823-3403, 9926 212TH STREET, PH, QNS VILLAGE, NY, 11429, , , 721109, 15698949, 
LINDA, C, FLANNERY, , F, , 6/1/2014, 609-823-3403, 609-823-3403, 8268 164 STREET, HOSP, JAMAICA, NY, 11432, , , 733282, 15960462, 

ANGIE, , MEYER, , F, , 12/13/2000, , , 819 FDR DRIVE, 5A, , , 10009, , , , 15559013, 
ANGIE, , MEYER, , F, , 12/13/2000, 484-985-5817, 484-985-5817, 819 FDR DRIVE, 5A, NEW YORK, NY, 10009, , , 723631, 15517003, 
ANGIE, JANE, MEYER, , F, , 12/13/2000, 484-985-5817, 484-985-5817, 1225 FDR DRIVE, 6C, NEW YORK, NY, 10009, , , 778092, 15732361, 

DALILAH, MARY, GIDLEY, , F, , 3/30/2014, , , 400 EAST 30TH STREET, SHL, , , 10016, , , , 15843543, 
DALILAH, , GIDLEY, , F, , 3/30/2014, 959-443-2716, 959-443-2716, 219 E 121 STREET, , NEW YORK, NY, 10035, , , 787812, 15921492, 
DALILAH, MARY, GIDLEY, , F, , 3/30/2014, 959-443-2716, 959-443-2716, 400 EAST 30TH STREET, SHL, NEW YORK, NY, 10016, , , 810750, 15915513, 

DAMIAN, , HUNTER, , M, , 8/7/2002, , , , , , , , , , , 15663836, 
DAMIAN, , HUNTER, , M, , 8/7/2002, 917-144-1424, 917-144-1424, 215 EAST TREMONT AVENUE, 41E, BX, NY, 10458, , , 785070, 15958684, 
DAMIAN, , HUNTER, , M, , 8/7/2002, 917-144-1424, 917-144-1424, 769 BRYANT AVENUE, 4I, BX, NY, 10474, , DHUNTER@AMGGT.COM, 788229, 15378379, 

LESLIE, , COLEMAN, , M, , 12/10/1991, , , , , , , , , , , 15966479, 
LESLIE, , COLEMAN, , M, , 12/10/1991, 212-630-9129, 551-759-6219^^212-630-9129, 462 FIRST AVENUE, , NEW YORK, NY, 10016, , , 732650, 15702388, 
LESLIE, , COLEMAN, , M, , 12/10/1991, 203-488-1233, 203-488-1233, 462 FIRST AVENUE, , NEW YORK, NY, 10016, , LCOLEMAN@AMGGT.COM, 732700, 15784798, 

ESTHER, , SIEBEN, , F, , 12/9/1925, , , , , , , , , , , 16027978, 
ESTHER, LISA, SIEBEN, , F, , 12/9/1925, 347-471-9522, 516-591-8103^^347-471-9522, 1231 COMMONWEALTH AVENUE, , BRONX, NY, 10472, , , 802747, 15845893, 
ESTHER, LISA, SIEBEN, , F, , 12/9/1925, 201-937-1301, 201-937-1301, 1231 COMMONWELTH AVENUE, 1, BRONX, NY, 10472, , ESIEBEN@AMGGT.COM, 818608, 15951453, 

MAKAILEE, , JOHNSON, , F, , 10/16/1996, , , 260 CONVENT AVENUE, 6, , , 10031, , , , 15573631, 
MAKAILEE, , JOHNSON, , F, , 10/16/1996, 860-899-3753, 860-899-3753, 260 CONVENT AVENUE, 6, NEW YORK, NY, 10031, , , 793843, 15647412, 
MAKAILEE, , JOHNSON, , F, , 10/16/1996, 860-899-3753, 860-899-3753, 120 WEST 138TH STREET, 2F, NEW YORK, NY, 10030, , , 816250, 15755108, 

JODY, , BERRY, , F, , 12/16/1992, , , 1041 UNIVERSITY AVENUE, 2F, , , 10452, , , , 15779616, 
JODY, CAROL, BERRY, , F, , 12/16/1992, 267-427-2328, 267-427-2328, 537 E 139 STREET, 3 C, BRONX, NY, 10454, TITLER, JBERRY@AMGGT.COM, 774334, 15602019, 
JODY, , BERRY, , F, , 12/16/1992, 267-427-2328, 267-427-2328, 1041 UNIVERSITY AVENUE, 2F, BRONX, NY, 10452, , , 791021, 15743929, 

WILLIAM, , CUTRIGHT, , M, , 6/4/2013, , , , , , , , , , , 15771715, 
WILLIAM, DARRYL, CUTRIGHT, , M, , 6/4/2013, 929-635-6261, 929-635-6261, 747 EAST 168TH STREET, 2F, BRONX, NY, 10456, , , 762551, 15610047, 
WILLIAM, DARRYL, CUTRIGHT, , M, , 6/4/2013, 929-635-6261, 929-635-6261, 747 E 168TH STREET, 5 E, BRONX, NY, 10456, , , 800913, 15765129, 

NICHOLAS, , BLACKMON, , M, , 12/4/1991, , , 650 W 172ND STREET, 42, , , 10032, , , , 15389148, 
NICHOLAS, , BLACKMON, , M, , 12/4/1991, 732-885-5069, 732-885-5069, 141 W 142 STREET, 3B, NEW YORK, NY, 10030, , , 730774, 16026507, 
NICHOLAS, , BLACKMON, , M, , 12/4/1991, 732-885-5069, 732-885-5069, 650 W 172ND STREET, 42, NEW YORK, NY, 10032, , , 733783, 15520209, 

PABLO, B, FRANK, , M, , 7/3/2014, , , 1591 METROPOLITIAN AVENUE, 1D, , , 10462, , , , 15754972, 
PABLO, B, FRANK, , M, , 7/3/2014, 518-925-1212, 518-925-1212, 1591 METROPOLITIAN AVENUE, 1D, BRONX, NY, 10462, , , 714002, 15765610, 
PABLO, BRYAN, FRANK, , M, , 7/3/2014, 518-925-1212, 518-925-1212, 1834 PHELAN PLACE, 4J, BRONX, NY, 10453, HERNANDEZ, PFRANK@AMGGT.COM, 756578, 15474215, 

MARY, , HEFFNER, , F, , 3/7/2008, , , , , , , , , , , 15400492, 
MARY, S, HEFFNER, , F, , 3/7/2008, 267-108-6141, 609-454-4010^^267-108-6141, 317 WEST 121ST STREET, 2C, NEW YORK, NY, 10027, , , 799359, 15704032, 
MARY, SARA, HEFFNER, , F, , 3/7/2008, 267-108-6141, 267-108-6141, 317 WEST 121ST STREET, 2C, NEW YORK, NY, 10027, , , 816468, 15955991, 

SHANE, , MOORE, , M, , 9/16/1998, , , , , , , , , , , 15551360, 
SHANE, , MOORE, , M, , 9/16/1998, 212-534-1722, 212-534-1722, 5240 WEST BROADWAY, 2H, BRONX, NY, 10463, , , 782256, 15779303, 
SHANE, , MOORE, , M, , 9/16/1998, 212-534-1722, 212-534-1722, 2302 VALENTINE AVENUE, 17, BRONX, NY, 10458, , , 801022, 15638587, 

WANDA, , LEE, , F, , 5/24/1924, , , , , , , , , , , 15404806, 
WANDA, , LEE, , F, , 5/24/1924, 484-629-7228, 570-162-9028^^484-629-7228, 230 EAST 26TH STREET, , BROOKLYN, NY, 11226, , , 755613, 15460616, 
WANDA, , LEE, , F, , 5/24/1924, 929-215-6740, 929-215-6740, 230 E 26TH STREET, 3B, BROOKLYN, NY, 11226, , , 764017, 15924475, 

PHILIP, , CHIN, , M, , 5/15/2004, , , , , , , , , , , 15570154, 
PHILIP, , CHIN, , M, , 5/15/2004, , , 516 WEST 135TH STREET, 24, NEW YORK, NY, 10031, , , 786923, 15509996, 
PHILIP, , CHIN, , M, , 5/15/2004, 959-245-6080, 959-245-6080, 516 WEST 135TH STREET, 24, NEW YORK, NY, 10031, , PCHIN@AMGGT.COM, 808870, 15881412, 

ALLISON, , CONRAD, , F, , 12/8/2010, , , 2937 8TH AVENUE, 25E, , , 10039, CHOUDHURY, , , 15885280, 
ALLISON, , CONRAD, , F, , 12/8/2010, 551-823-6302, 551-823-6302, 2937 FREDERICK DOUGLAS, 25E, NEW YORK, NY, 10039, , , 753182, 15546890, 
ALLISON, , CONRAD, , F, , 12/8/2010, 551-823-6302, 551-823-6302, 2937 8TH AVENUE, 25E, NEW YORK, NY, 10039, CHOUDHURY, ACONRAD@AMGGT.COM, 784449, 15495619, 

ALEXANDER, J, COOPER, , M, , 12/10/2007, , , 911 SIMPSON STREET, 14, , , 10459, , , , 15652844, 
ALEXANDER, JOSE, COOPER, , M, , 12/10/2007, 845-927-2776, 845-927-2776, 971 WESTCHESTER AVENUE, 2A, BRONX, NY, 10459, , , 784780, 15453706, 
